timestamp,connected,download_mbps,upload_mbps,ping_ms,wifi_status,http_response_ms
2025-11-03 11:51:46,True,2.57,1.07,119.4,True,735.64
2025-11-03 11:57:14,True,,,,True,1178.5
2025-11-03 12:02:19,True,,,,True,1497.71
2025-11-03 12:07:24,True,,,,True,673.58
2025-11-03 12:12:27,True,,,,True,1215.14
2025-11-03 12:17:32,True,,,,True,1094.3
2025-11-03 12:22:36,True,,,,True,1026.69
2025-11-03 12:27:40,True,,,,True,1179.91
2025-11-03 12:32:44,True,,,,True,1405.36
2025-11-03 12:37:49,True,,,,True,1134.27
2025-11-03 12:42:54,True,,,,True,1051.35
2025-11-03 12:47:58,True,,,,True,1189.25
2025-11-03 12:53:03,True,2.65,1.02,127.38,True,1174.34
2025-11-03 12:58:33,True,,,,True,1250.31
2025-11-03 13:03:38,True,,,,True,1075.53
2025-11-03 13:08:42,True,,,,True,1082.69
2025-11-03 13:13:46,True,,,,True,1265.14
2025-11-03 13:18:51,True,,,,True,1176.79
2025-11-03 13:23:55,True,,,,True,1056.24
2025-11-03 13:28:59,True,,,,True,1115.3
2025-11-03 13:34:03,True,,,,True,1050.52
2025-11-03 13:39:07,True,,,,True,1145.78
2025-11-03 13:44:11,True,,,,True,1121.0
2025-11-03 13:49:15,True,,,,True,595.73
2025-11-03 13:54:17,True,3.33,1.04,118.09,True,1657.97
2025-11-03 13:59:48,True,,,,True,1158.41
2025-11-03 14:04:52,True,,,,True,1133.51
2025-11-03 14:09:57,True,,,,True,1213.8
2025-11-03 14:15:01,True,,,,True,1216.58
2025-11-03 14:20:06,True,,,,True,1161.89
2025-11-03 14:25:10,True,,,,True,1040.15
2025-11-03 14:30:14,True,,,,True,1152.49
2025-11-03 14:35:18,True,,,,True,1134.53
2025-11-03 14:40:22,True,,,,True,1131.42
2025-11-03 14:45:26,True,,,,True,1090.02
2025-11-03 14:50:31,True,,,,True,1164.79
2025-11-03 14:55:35,True,2.8,1.1,116.58,True,1092.24
2025-11-03 15:01:05,True,,,,True,1057.65
2025-11-03 15:06:09,True,,,,True,1109.4
2025-11-03 15:11:13,True,,,,True,1299.96
2025-11-03 15:16:18,True,,,,True,1054.92
2025-11-03 15:21:22,True,,,,True,921.69
2025-11-03 15:26:26,True,,,,True,1064.43
2025-11-03 15:31:30,True,,,,True,1168.86
2025-11-03 15:36:34,True,,,,True,1055.06
2025-11-03 15:41:38,True,,,,True,1037.17
2025-11-03 15:46:42,True,,,,True,1236.78
2025-11-03 15:51:47,True,,,,True,990.16
2025-11-03 15:56:50,True,1.51,0.96,121.59,True,1097.96
2025-11-03 16:02:20,True,,,,True,879.0
2025-11-03 16:07:24,True,,,,True,1209.2
2025-11-03 16:12:30,True,,,,True,1204.64
2025-11-03 16:17:35,True,,,,True,1068.87
2025-11-03 16:22:39,True,,,,True,1177.86
2025-11-03 16:27:43,True,,,,True,1051.65
2025-11-03 16:32:47,True,,,,True,1082.73
2025-11-03 16:37:51,True,,,,True,1288.7
2025-11-03 16:42:56,True,,,,True,795.05
2025-11-03 16:47:59,True,,,,True,1031.43
2025-11-03 16:53:03,True,,,,True,1390.28
2025-11-03 16:58:08,True,3.18,1.25,117.83,True,1107.1
2025-11-03 17:03:38,True,,,,True,1048.05
2025-11-03 17:08:42,True,,,,True,1143.22
2025-11-03 17:13:46,True,,,,True,1043.03
2025-11-03 17:18:50,True,,,,True,931.72
2025-11-03 17:23:53,True,,,,True,1366.65
2025-11-03 17:28:58,True,,,,True,1226.03
2025-11-03 17:34:03,True,,,,True,1241.18
2025-11-03 17:39:07,True,,,,True,1344.57
2025-11-03 17:44:12,True,,,,True,1059.62
2025-11-03 17:49:16,True,,,,True,1590.51
2025-11-03 17:54:22,True,,,,True,597.3
2025-11-03 17:59:24,True,3.38,1.18,118.65,True,588.63
2025-11-03 18:04:51,True,,,,True,1216.01
2025-11-03 18:09:56,True,,,,True,1126.42
2025-11-03 18:15:00,True,,,,True,1028.11
2025-11-03 18:20:04,True,,,,True,1235.13
2025-11-03 18:25:08,True,,,,True,1097.29
2025-11-03 18:30:12,True,,,,True,1221.99
2025-11-03 18:35:16,True,,,,True,948.47
2025-11-03 18:40:20,True,,,,True,1104.51
2025-11-03 18:45:25,True,,,,True,1109.04
2025-11-03 18:50:29,True,,,,True,906.15
2025-11-03 18:55:32,True,,,,True,1128.85
2025-11-03 19:00:37,True,3.53,1.14,124.92,True,1068.35
2025-11-03 19:06:08,True,,,,True,1054.36
2025-11-03 19:11:11,True,,,,True,1119.46
2025-11-03 19:16:16,True,,,,True,1826.52
2025-11-03 19:21:23,True,,,,True,1036.45
2025-11-03 19:26:27,True,,,,True,1076.64
2025-11-03 19:31:31,True,,,,True,1057.47
2025-11-03 19:36:35,True,,,,True,1003.18
2025-11-03 19:41:39,True,,,,True,1143.91
2025-11-03 19:46:43,True,,,,True,1220.02
2025-11-03 19:51:48,True,,,,True,1027.85
2025-11-03 19:56:52,True,,,,True,1067.12
2025-11-03 20:01:56,True,3.18,1.47,114.72,True,1108.85
2025-11-03 20:07:25,True,,,,True,1093.36
2025-11-03 20:12:29,True,,,,True,1150.93
2025-11-03 20:17:34,True,,,,True,1276.14
2025-11-03 20:22:39,True,,,,True,1126.14
2025-11-03 20:27:43,True,,,,True,1032.9
2025-11-03 20:32:47,True,,,,True,1119.5
2025-11-03 20:37:51,True,,,,True,1055.03
2025-11-03 20:42:55,True,,,,True,925.13
2025-11-03 20:47:58,True,,,,True,1242.21
2025-11-03 20:53:03,True,,,,True,1158.13
2025-11-03 20:58:07,True,,,,True,1255.13
2025-11-03 21:03:11,True,3.4,1.15,118.03,True,1183.41
2025-11-03 21:08:41,True,,,,True,1130.12
2025-11-03 21:13:46,True,,,,True,1040.2
2025-11-03 21:18:51,True,,,,True,1073.54
2025-11-03 21:23:55,True,,,,True,1079.64
2025-11-03 21:29:00,True,,,,True,1111.86
2025-11-03 21:34:04,True,,,,True,1175.36
2025-11-03 21:39:08,True,,,,True,1145.05
2025-11-03 21:44:12,True,,,,True,1182.62
2025-11-03 21:49:17,True,,,,True,1631.22
2025-11-03 21:54:23,True,,,,True,1091.66
2025-11-03 21:59:27,True,,,,True,1117.1
2025-11-03 22:04:31,True,3.71,1.2,110.49,True,1077.81
2025-11-03 22:10:00,True,,,,True,1108.68
2025-11-03 22:15:04,True,,,,True,1160.19
2025-11-03 22:20:08,True,,,,True,986.79
2025-11-03 22:25:12,True,,,,True,1074.04
2025-11-03 22:30:16,True,,,,True,1041.02
2025-11-03 22:35:20,True,,,,True,1182.25
2025-11-03 22:40:24,True,,,,True,1000.72
2025-11-03 22:45:28,True,,,,True,1354.52
2025-11-03 22:50:33,True,,,,True,1031.31
2025-11-03 22:55:37,True,,,,True,955.64
2025-11-03 23:00:41,True,,,,True,577.67
2025-11-03 23:05:43,True,3.77,1.24,114.82,True,1074.83
2025-11-03 23:11:13,True,,,,True,1105.79
2025-11-03 23:16:17,True,,,,True,923.77
2025-11-03 23:21:20,True,,,,True,980.86
2025-11-03 23:26:24,True,,,,True,958.47
2025-11-03 23:31:28,True,,,,True,1041.58
2025-11-03 23:36:32,True,,,,True,1106.52
2025-11-03 23:41:36,True,,,,True,1107.34
2025-11-03 23:46:40,True,,,,True,1346.6
2025-11-03 23:51:45,True,,,,True,1069.87
2025-11-03 23:56:49,True,,,,True,987.09
2025-11-04 00:01:52,True,,,,True,1264.65
2025-11-04 00:06:57,True,3.98,1.63,111.6,True,1067.75
2025-11-04 00:12:26,True,,,,True,1067.05
2025-11-04 00:17:30,True,,,,True,1235.18
2025-11-04 00:22:35,True,,,,True,1063.62
2025-11-04 00:27:39,True,,,,True,1049.83
2025-11-04 00:32:43,True,,,,True,970.6
2025-11-04 00:37:47,True,,,,True,1231.13
2025-11-04 00:42:51,True,,,,True,1219.63
2025-11-04 00:47:56,True,,,,True,1358.09
2025-11-04 00:53:01,True,,,,True,973.63
2025-11-04 00:58:05,True,,,,True,1003.97
2025-11-04 01:03:09,True,,,,True,857.33
2025-11-04 01:08:12,True,3.93,1.41,115.25,True,1039.83
2025-11-04 01:13:41,True,,,,True,1116.73
2025-11-04 01:18:45,True,,,,True,1140.84
2025-11-04 01:23:49,True,,,,True,1125.33
